link,title,addr,dientich,bedroom,bathroom,price,day
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/b-an-dat-72m-duong-phuoc-truong-17-gan-vuong-thua-vu-tien-xay-homestay-id22633217,"B.án đất 72m đường Phước Trường 17,gần Vương Thừa Vũ tiện xây Homestay","Quận Sơn Trà, Đà Nẵng",72 m2,0 PN,0 WC,4 tỷ 750 triệu,Hôm qua
https://mogi.vn/quan-ngu-hanh-son/mua-nha-hem-ngo/hang-hot-ban-nha-123m2-duong-van-tuong-gan-non-nuoc-ngu-hanh-son-oto-id22632426,"Hàng HOT_Bán nhà 123m2 đường Vạn Tường, gần Non Nước, Ngũ Hành Sơn,oto","Quận Ngũ Hành Sơn, Đà Nẵng",123 m2,2 PN,1 WC,3 tỷ 600 triệu,Hôm qua
https://mogi.vn/quan-ngu-hanh-son/mua-nha-mat-tien-pho/ban-nha-138m2-mai-thuc-lan-ngang-6m-pho-tay-an-thuong-my-an-ngu-hanh-id22632097,"Bán nhà 138m2 Mai Thúc Lân, ngang 6m,Phố Tây An Thượng, Mỹ An,Ngũ Hành","Quận Ngũ Hành Sơn, Đà Nẵng",138 m2,3 PN,2 WC,20 tỷ,Hôm qua
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/ban-dat-95m2-duong-10m5-dinh-cong-tru-tho-quang-son-tra-da-nang-5-7-id22618556,"Bán đất 95m2 đường 10m5 Đinh Công Trứ, Thọ Quang, Sơn Trà,Đà Nẵng _5.7","Quận Sơn Trà, Đà Nẵng",95 m2,0 PN,0 WC,5 tỷ 700 triệu,Hôm qua
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/ban-dat-2-mat-tien-120m2-duong-mai-thuc-lan-10m5-khu-an-thuong-ngu-han-id22632076,"Bán đất 2 Mặt tiền 120m2 Đường Mai Thúc Lân,10m5 khu An Thượng,Ngũ Hàn","Quận Ngũ Hành Sơn, Đà Nẵng",120 m2,0 PN,0 WC,19 tỷ,Hôm qua
https://mogi.vn/quan-ngu-hanh-son/mua-nha-mat-tien-pho/ban-nha-2-tang-x-88m2-duong-my-an-23-ngu-hanh-son-da-nang-5-2-id22578103,"Bán nhà 2 tầng x 88m2 Đường Mỹ An 23, Ngũ Hành Sơn,Đà Nẵng_5.2","Quận Ngũ Hành Sơn, Đà Nẵng",88 m2,2 PN,2 WC,5 tỷ 200 triệu,Hôm qua
https://mogi.vn/quan-ngu-hanh-son/mua-nha-biet-thu-lien-ke/h0t-ban-biet-thu-2-tang-x-200m2-mt-duong-da-man-6-khu-nam-viet-a-khue-id22580129,"H0T_Bán biệt thự 2 tầng x 200m2 MT đường Đa Mặn 6,Khu Nam Việt Á,Khuê","Quận Ngũ Hành Sơn, Đà Nẵng",200 m2,4 PN,5 WC,11 tỷ 500 triệu,Hôm qua
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/hiem-ban-nha-2-tang-mat-tien-nguyen-khanh-toan-hoa-cuong-bac-hai-cha-id22657900,"HIẾM_Bán nhà 2 tầng mặt tiền Nguyễn Khánh Toàn, Hoà Cường Bắc, Hải Châ","Quận Hải Châu, Đà Nẵng",74 m2,2 PN,2 WC,4 tỷ 990 triệu,Hôm qua
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/nong-dat-k-oto-6met-khu-nam-viet-a-ngu-hanh-son-chi-28tr-m2-su-that-id22657108,"NÓNG_ĐẤT K/OTO 6met Khu Nam Việt Á,NGŨ HÀNH SƠN_ Chỉ 28tr/m2, SỰ THẬT","Quận Ngũ Hành Sơn, Đà Nẵng",160 m2,0 PN,0 WC,4 tỷ 650 triệu,Hôm qua
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/h0t-ban-lo-dat-72m2-kiet-o-to-81-le-van-hien-khue-my-ngu-hanh-son-3-id22518557,"H0T_Bán lô đát 72m2 Kiệt ô tô 81 Lê Văn Hiến, Khuê Mỹ, Ngũ Hành Sơn_3.","Quận Ngũ Hành Sơn, Đà Nẵng",72 m2,0 PN,0 WC,3 tỷ 100 triệu,Hôm qua
